    0:00.100       25     +    0    0    0	(AFIB
   17:01.100   255275     +    0    0    0	(VFL
   17:22.564   260641     +    0    0    0	(VER
   17:29.024   262256     +    0    0    0	(N
   19:26.024   291506     +    0    0    0	(VT
   19:32.408   293102     +    0    0    0	(HGEA
   19:54.564   298641     +    0    0    0	(N
   20:55.176   313794     +    0    0    0	(HGEA
   21:37.176   324294     +    0    0    0	(N
   32:12.716   483179     +    0    0    0	(HGEA
   33:40.716   505179     +    0    0    0	(N
   34:40.256   520064     +    0    0    0	(HGEA
